disease,home_remedy_1,home_remedy_2,home_remedy_3,home_remedy_4,home_remedy_5,effectiveness_rating,preparation_time_minutes,cost_level,safety_level
Tension Headache,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,,7.3,9,Moderate,Caution Required
Chickenpox,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,6.0,36,Moderate,Caution Required
Panic Disorder,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,7.9,19,Moderate,Consult Doctor
Deep Vein Thrombosis,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,4.9,25,Moderate,Caution Required
Asthma,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,,5.9,37,Very Low,Caution Required
Mumps,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",7.3,47,Very Low,Consult Doctor
Tension Headache,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,7.2,35,Very Low,Caution Required
Chickenpox,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,3.5,5,Moderate,Consult Doctor
Alzheimers Disease,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,5.4,45,Moderate,Very Safe
Peptic Ulcer,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,3.6,7,Very Low,Safe
Laryngitis,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,,9.2,50,Very Low,Consult Doctor
Anemia,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,5.2,27,Moderate,Very Safe
PTSD,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,4.3,28,Moderate,Very Safe
Schizophrenia,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,8.1,46,Moderate,Consult Doctor
Crohns Disease,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,6.6,60,High,Consult Doctor
Hepatitis A,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,9.3,45,Low,Safe
Hemorrhoids,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,5.0,16,Very Low,Caution Required
Hypertension,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",3.5,51,Low,Very Safe
Arthritis,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,,5.4,22,Moderate,Caution Required
Psoriasis,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,4.5,18,High,Caution Required
Stroke,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,4.0,7,High,Caution Required
Vertigo,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,3.4,11,Low,Very Safe
Hepatitis C,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,9.0,28,Low,Caution Required
Sciatica,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,,7.5,28,Low,Consult Doctor
Diarrhea,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,7.3,17,High,Consult Doctor
Heart Attack,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,5.2,43,Moderate,Safe
Epilepsy,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,,8.0,26,Very Low,Very Safe
Insomnia,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,6.2,23,Very Low,Caution Required
Dermatitis,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,6.1,53,High,Consult Doctor
UTI,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,8.2,55,High,Caution Required
Rheumatoid Arthritis,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",6.8,40,Low,Consult Doctor
Obesity,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,4.7,30,Very Low,Very Safe
Parkinsons Disease,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,8.2,44,Low,Consult Doctor
Cluster Headache,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,4.4,38,Moderate,Very Safe
Obesity,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,5.4,5,Very Low,Very Safe
Sleep Apnea,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,8.3,47,Very Low,Caution Required
Kidney Stones,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,5.7,57,Very Low,Consult Doctor
Epilepsy,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,8.9,12,High,Consult Doctor
Cluster Headache,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,6.9,48,Moderate,Safe
Endometriosis,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,5.9,29,Very Low,Consult Doctor
Arthritis,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",3.5,5,Very Low,Caution Required
Diarrhea,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",,,4.4,14,Low,Caution Required
Flu,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,,4.8,40,Low,Consult Doctor
Common Cold,Drink warm ginger-honey-lemon tea (1 tsp each in hot water) 3 times daily,Use saline nasal spray every 2-3 hours while awake,Drink bone broth rich in minerals and amino acids,"Apply warm compress on sinuses for 10 minutes, 3 times daily",Consume 2-3 cloves fresh garlic daily for immune support,4.1,15,Low,Safe
Cataracts,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,,3.6,40,Moderate,Safe
Panic Disorder,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,7.5,27,High,Safe
Malaria,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",3.5,26,High,Caution Required
Bronchitis,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,9.2,34,High,Safe
Crohns Disease,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,,3.8,56,Low,Very Safe
