disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Leukemia,6.34,Moderate,"Blood Sugar Level, Age, Diet Quality","Exercise, Stress",Unknown,Low,7.2,7.53,Moderate,7.96,8.53,5.98,2.72,7.73,1.32,8.77,2.36,8.32,5.19,9.47,7.65,6.64,6.13
Colon Cancer,6.29,Moderate,"Environmental Factors, Age, Smoking Status","Smoking, Diet",High,Moderate,7.86,7.02,Low,6.24,8.86,5.18,3.06,3.42,7.89,8.91,2.5,2.36,8.0,8.77,6.8,7.44,8.57
Multiple Sclerosis,5.71,Moderate,"Cholesterol Level, Stress Level, Smoking Status","Sleep, Exercise",Unknown,Moderate,7.94,6.67,High,3.23,7.38,2.33,7.82,4.19,3.96,7.3,9.81,4.06,2.12,8.03,5.23,7.82,6.7
Flu,4.89,Moderate,"Alcohol Consumption, Blood Sugar Level, Stress Level","Sleep, Exercise",High,High,6.45,4.81,Moderate,6.94,4.48,2.25,9.21,2.92,1.92,6.0,6.42,5.48,3.88,2.04,7.98,2.7,6.24
Constipation,5.27,Moderate,"Alcohol Consumption, Cholesterol Level, Family History","Stress, Exercise",Moderate,High,6.14,6.67,High,3.05,5.02,6.47,5.64,5.88,3.91,6.64,8.88,3.67,2.05,8.89,6.88,1.98,4.79
Breast Cancer,5.97,Moderate,"Physical Activity, Sleep Quality, Blood Sugar Level","Smoking, Diet",Moderate,Moderate,6.04,5.99,Moderate,8.4,5.98,5.78,2.26,9.4,8.39,9.73,3.71,6.65,2.06,1.18,6.94,4.85,8.2
Hypertension,7.11,High,"Alcohol Consumption, Age, Stress Level","Smoking, Diet",Unknown,Low,10.31,9.19,High,7.52,5.65,9.14,9.36,2.61,4.17,6.14,1.76,8.03,8.6,9.2,9.66,8.56,9.15
Epilepsy,5.38,Moderate,"Blood Pressure, Blood Sugar Level, Smoking Status","Diet, Smoking",Unknown,Low,6.59,6.98,Moderate,3.79,2.82,3.15,8.23,3.22,6.57,8.67,7.75,2.67,6.06,9.2,4.9,3.17,5.13
Mumps,5.79,Moderate,"Age, Blood Sugar Level, Sleep Quality","Stress, Smoking",Moderate,Low,6.9,7.16,Low,3.31,5.7,4.07,9.61,1.08,3.98,7.83,9.68,1.64,7.15,6.44,6.0,8.16,6.46
Hepatitis A,5.62,Moderate,"Smoking Status, Cholesterol Level, Sleep Quality","Stress, Smoking",Moderate,Moderate,7.8,7.17,Low,9.21,4.79,9.9,4.69,6.77,4.37,5.36,6.2,2.99,3.39,3.65,5.23,4.2,7.97
Asthma,5.01,Moderate,"Diet Quality, BMI, Cholesterol Level","Exercise, Diet",Moderate,Low,5.63,5.42,Low,2.48,5.39,4.08,5.27,5.59,3.36,1.69,1.17,3.17,7.48,9.98,8.14,3.83,8.47
Osteoarthritis,5.64,Moderate,"Physical Activity, Family History, Gender","Sleep, Smoking",High,High,6.8,7.18,High,2.77,2.39,7.81,8.77,6.35,9.16,7.23,3.53,4.54,5.46,4.24,6.26,3.72,6.67
Mumps,5.37,Moderate,"Diet Quality, Environmental Factors, Physical Activity","Smoking, Diet",Unknown,Moderate,5.93,6.58,High,9.9,7.27,1.26,5.08,8.34,9.2,3.48,4.03,1.66,8.4,2.95,9.52,2.37,1.72
Vertigo,5.49,Moderate,"Cholesterol Level, Physical Activity, Gender","Smoking, Stress",Moderate,High,7.55,6.08,High,2.96,1.4,1.78,9.76,9.15,7.59,8.93,1.02,2.43,7.44,6.55,2.61,6.41,8.83
Colon Cancer,6.2,Moderate,"Diet Quality, Smoking Status, Alcohol Consumption","Exercise, Sleep",Moderate,Low,6.33,6.15,Low,1.96,3.1,8.34,6.57,6.12,5.56,6.29,6.5,6.81,5.85,8.29,7.02,8.41,6.02
Parkinsons Disease,5.7,Moderate,"Age, Diet Quality, Blood Pressure","Stress, Exercise",Unknown,Moderate,6.96,5.93,Low,2.26,1.14,9.78,9.68,8.25,8.21,1.22,9.61,8.6,4.09,6.2,1.89,3.36,5.54
Tuberculosis,5.69,Moderate,"Cholesterol Level, Alcohol Consumption, Family History","Smoking, Diet",Moderate,Low,4.87,5.57,Moderate,7.13,3.21,5.48,5.22,5.86,2.37,1.12,5.2,6.67,3.41,7.9,8.16,8.65,9.31
Cataracts,6.15,Moderate,"Gender, Age, Physical Activity","Smoking, Stress",Unknown,High,8.83,7.24,Low,8.99,1.14,2.26,4.35,8.77,9.85,6.76,8.33,7.72,6.29,6.33,1.76,4.13,9.41
Obesity,5.44,Moderate,"Environmental Factors, Blood Sugar Level, Physical Activity","Stress, Exercise",Moderate,Low,5.38,6.13,Low,1.38,5.15,2.81,4.59,8.98,2.97,9.72,8.19,1.85,5.66,5.58,9.86,6.67,2.75
Hyperthyroidism,4.98,Moderate,"Smoking Status, Stress Level, Blood Sugar Level","Smoking, Sleep",Low,Moderate,6.44,6.39,Low,9.92,8.24,5.1,4.09,4.06,2.24,8.28,1.61,7.29,8.34,2.25,2.79,3.82,1.64
Gastritis,5.5,Moderate,"Blood Sugar Level, Alcohol Consumption, Family History","Exercise, Stress",High,High,7.39,5.9,High,7.1,6.86,4.56,6.99,2.39,1.9,5.89,9.07,2.51,7.77,1.5,6.66,7.13,6.67
Sinusitis,5.6,Moderate,"Gender, Diet Quality, Blood Sugar Level","Stress, Smoking",High,High,6.49,5.31,High,9.86,6.64,1.38,8.09,5.4,9.27,5.15,4.86,1.32,7.97,5.27,8.27,2.95,1.97
Parkinsons Disease,6.01,Moderate,"Physical Activity, Sleep Quality, Age","Sleep, Smoking",Moderate,Moderate,7.36,7.24,Low,4.03,4.71,9.22,7.8,8.43,6.15,2.59,6.19,6.89,8.0,4.05,5.6,8.69,1.75
Osteoarthritis,4.81,Moderate,"BMI, Physical Activity, Alcohol Consumption","Smoking, Exercise",Unknown,Moderate,4.33,5.6,Moderate,9.6,2.46,5.28,4.28,1.96,3.74,8.67,2.25,6.33,4.72,2.89,6.02,8.06,1.03
Typhoid,5.66,Moderate,"Blood Sugar Level, Environmental Factors, Family History","Smoking, Stress",Moderate,Moderate,7.07,6.96,High,2.2,4.5,1.19,3.85,4.9,8.47,9.04,5.58,5.57,8.22,7.13,5.62,7.42,5.55
GERD,3.85,Moderate,"Environmental Factors, Diet Quality, Blood Pressure","Smoking, Sleep",Low,Moderate,4.88,3.54,High,3.58,8.96,8.25,1.62,5.46,3.97,1.42,1.27,3.42,2.5,4.74,3.1,2.35,3.2
Glaucoma,6.48,Moderate,"Age, Gender, Diet Quality","Exercise, Diet",Low,Low,6.73,6.86,Low,7.34,4.39,5.87,3.55,9.96,6.56,9.84,7.35,6.97,1.34,6.94,3.77,6.95,9.92
Sciatica,5.71,Moderate,"Diet Quality, Alcohol Consumption, Family History","Stress, Smoking",Unknown,High,4.68,5.46,High,1.91,7.83,3.54,8.03,8.83,2.2,1.44,3.3,9.77,9.73,5.14,7.6,9.03,1.58
Ear Infection,5.53,Moderate,"Alcohol Consumption, Physical Activity, Cholesterol Level","Exercise, Sleep",Moderate,High,5.39,5.5,Low,9.57,8.51,3.89,5.2,5.04,1.26,9.05,3.44,8.97,2.02,2.66,4.89,4.43,8.53
Hyperthyroidism,7.12,High,"Gender, Environmental Factors, Family History","Exercise, Sleep",High,Low,7.13,6.89,High,9.78,9.63,6.13,5.13,9.15,4.4,7.19,7.72,2.76,9.16,5.08,6.6,9.62,7.34
Alzheimers Disease,7.55,High,"Cholesterol Level, Alcohol Consumption, Family History","Exercise, Smoking",Moderate,High,10.83,8.54,High,9.39,4.17,9.94,5.11,6.2,6.87,8.74,7.96,7.5,8.46,9.67,7.68,6.59,7.38
Mumps,5.16,Moderate,"Diet Quality, Gender, Environmental Factors","Exercise, Sleep",Moderate,Low,5.06,5.07,High,7.66,2.4,1.14,6.46,3.12,3.65,8.22,1.88,4.56,6.41,7.61,6.21,8.92,4.05
Tonsillitis,5.71,Moderate,"Gender, BMI, Environmental Factors","Diet, Sleep",Moderate,Low,8.26,6.58,Moderate,4.26,8.91,8.12,4.01,2.02,5.36,6.51,7.85,1.99,7.93,5.13,8.41,6.92,2.48
COVID-19,6.0,Moderate,"Blood Sugar Level, Environmental Factors, BMI","Diet, Smoking",High,Low,8.34,7.01,Low,8.2,3.11,7.99,6.9,7.51,1.12,4.97,2.58,7.0,5.55,1.72,8.23,9.09,9.98
Arthritis,6.21,Moderate,"Stress Level, Diet Quality, Alcohol Consumption","Diet, Smoking",High,High,5.14,7.32,Moderate,6.92,7.63,4.92,7.87,4.49,5.47,8.73,2.93,9.6,3.57,6.46,9.64,5.1,3.54
Dermatitis,5.09,Moderate,"Age, Family History, Physical Activity","Exercise, Stress",Moderate,High,5.75,6.12,Moderate,9.14,2.13,3.74,7.89,1.11,5.73,4.9,3.05,5.18,6.42,4.83,6.47,4.45,6.16
Eczema,5.29,Moderate,"Diet Quality, Cholesterol Level, Blood Pressure","Smoking, Stress",Moderate,Moderate,7.49,5.78,Moderate,4.33,2.22,5.94,4.87,5.81,2.09,9.7,5.52,7.28,5.22,6.5,7.33,5.57,1.71
Hernia,5.62,Moderate,"BMI, Diet Quality, Smoking Status","Stress, Diet",High,Low,5.18,5.8,Low,7.74,9.36,5.54,4.09,6.08,8.04,6.99,2.11,3.15,5.87,9.62,1.29,5.27,3.57
Hepatitis C,5.74,Moderate,"Diet Quality, Family History, Smoking Status","Stress, Sleep",Unknown,Low,4.8,6.54,Low,4.93,3.82,7.57,8.38,4.47,6.29,1.13,8.33,7.2,8.93,1.62,3.38,5.74,8.51
Hearing Loss,4.7,Moderate,"Physical Activity, Age, Environmental Factors","Sleep, Smoking",Low,High,6.95,6.05,Low,7.97,9.65,4.21,4.06,1.3,5.88,8.65,2.55,2.37,2.65,4.69,1.32,4.12,6.39
Chronic Fatigue,4.37,Moderate,"Sleep Quality, Environmental Factors, Blood Sugar Level","Diet, Sleep",Unknown,High,6.24,5.37,Low,4.61,4.79,5.11,1.88,3.35,8.27,7.47,1.68,5.03,5.03,2.97,6.92,2.82,1.29
Macular Degeneration,5.12,Moderate,"Smoking Status, Stress Level, Blood Pressure","Exercise, Smoking",High,Low,6.32,4.76,Moderate,1.62,5.04,4.22,5.44,7.01,5.39,2.47,5.98,5.22,6.06,5.97,1.01,8.22,7.96
Hernia,5.56,Moderate,"Physical Activity, Environmental Factors, Family History","Sleep, Smoking",Moderate,Moderate,4.53,6.67,Low,6.86,8.97,7.78,3.24,6.13,2.35,1.22,5.22,4.06,7.24,5.07,6.89,7.01,5.83
Skin Allergies,5.93,Moderate,"Smoking Status, Diet Quality, Stress Level","Sleep, Diet",Unknown,Low,7.78,6.12,High,8.3,1.68,7.46,3.18,7.15,2.99,8.29,4.76,6.16,9.15,9.87,3.69,5.08,5.22
Fibromyalgia,5.29,Moderate,"Blood Sugar Level, Physical Activity, Gender","Smoking, Exercise",High,Low,4.96,6.14,High,4.6,5.58,8.54,4.77,4.68,4.24,6.61,8.69,1.59,7.95,5.76,5.1,2.79,3.18
Hypothyroidism,4.56,Moderate,"Cholesterol Level, Age, Diet Quality","Stress, Smoking",Low,High,6.13,4.94,High,3.69,1.21,9.85,5.03,4.52,4.46,4.75,3.98,3.78,6.0,3.78,5.51,2.17,5.15
Kidney Stones,4.25,Moderate,"BMI, Environmental Factors, Diet Quality","Sleep, Stress",Low,Moderate,6.24,4.7,High,1.61,5.58,4.19,1.52,4.34,8.12,2.19,7.95,7.3,6.66,1.21,4.64,2.94,1.23
Ulcerative Colitis,5.47,Moderate,"Smoking Status, Cholesterol Level, Physical Activity","Exercise, Smoking",Unknown,Low,5.56,5.07,Low,6.01,4.19,9.21,4.08,6.04,7.32,5.76,5.11,2.88,8.11,2.72,2.66,8.93,3.49
UTI,4.94,Moderate,"Smoking Status, Blood Pressure, Stress Level","Smoking, Sleep",Low,High,5.38,5.85,High,8.24,4.75,6.41,6.8,7.11,2.4,8.03,3.14,3.22,7.01,2.45,3.1,1.38,5.11
Macular Degeneration,5.79,Moderate,"Sleep Quality, Stress Level, Blood Pressure","Exercise, Diet",Unknown,High,5.27,5.35,Moderate,3.39,4.36,8.24,6.43,7.36,7.92,9.83,4.1,5.71,1.87,8.52,5.16,5.49,2.71
Varicose Veins,4.77,Moderate,"Gender, Cholesterol Level, Smoking Status","Exercise, Sleep",High,High,4.52,5.06,Low,4.71,6.69,4.78,5.6,7.48,4.66,2.84,4.32,6.87,6.19,2.72,2.54,2.74,4.67
Heart Attack,4.32,Moderate,"Sleep Quality, Blood Pressure, Gender","Sleep, Stress",Unknown,Low,3.9,4.92,High,3.75,3.83,7.13,4.15,2.99,4.06,4.7,1.45,1.15,7.99,2.3,8.54,3.18,5.29
Lymphoma,5.29,Moderate,"Sleep Quality, BMI, Gender","Diet, Smoking",Unknown,High,5.49,5.26,Moderate,6.44,3.35,7.42,5.52,5.43,5.81,5.27,9.25,1.82,1.17,6.16,2.85,6.63,6.97
Acid Reflux,5.06,Moderate,"Alcohol Consumption, Sleep Quality, Diet Quality","Exercise, Stress",Low,Low,7.25,5.09,Moderate,2.43,6.69,3.15,1.38,9.36,7.41,4.96,6.62,4.79,6.53,6.24,2.66,6.1,2.52
Osteoarthritis,3.63,Moderate,"Environmental Factors, Blood Sugar Level, Cholesterol Level","Sleep, Stress",Moderate,Moderate,5.13,4.01,Moderate,2.63,6.68,4.78,2.59,2.08,5.32,3.4,2.46,1.08,1.21,3.27,2.47,9.6,3.23
Anemia,5.71,Moderate,"Environmental Factors, Blood Sugar Level, Diet Quality","Sleep, Exercise",High,High,6.55,6.09,High,5.1,3.56,5.91,1.67,7.01,8.19,4.62,7.79,8.79,9.89,8.41,1.69,2.54,4.74
Hyperthyroidism,5.86,Moderate,"Blood Sugar Level, Diet Quality, BMI","Exercise, Stress",Moderate,High,6.6,5.63,Moderate,9.36,9.47,4.65,3.48,1.56,5.51,9.52,4.96,1.81,4.05,8.19,4.16,6.59,8.67
Lung Cancer,4.75,Moderate,"Environmental Factors, Sleep Quality, Cholesterol Level","Exercise, Smoking",Low,High,3.85,5.81,Moderate,1.05,9.07,9.72,2.46,2.13,1.47,4.18,9.26,3.22,9.33,6.44,1.54,4.87,1.74
Kidney Stones,5.19,Moderate,"Environmental Factors, Family History, Stress Level","Sleep, Diet",High,High,5.85,5.52,High,3.8,9.69,3.55,5.65,8.04,2.28,3.41,9.32,5.04,7.42,1.76,1.53,4.21,6.95
Tension Headache,4.22,Moderate,"Smoking Status, Physical Activity, Blood Pressure","Exercise, Diet",Low,Low,5.39,4.04,High,6.31,3.96,1.4,6.0,3.6,5.04,1.81,4.27,6.1,5.38,1.65,2.96,4.5,6.07
Hypothyroidism,4.81,Moderate,"Family History, Blood Sugar Level, Gender","Diet, Exercise",High,Moderate,4.81,6.0,High,1.82,6.98,6.02,3.09,8.34,4.83,5.6,2.35,6.53,3.16,7.76,1.87,3.73,5.22
Tension Headache,5.94,Moderate,"Stress Level, Age, Family History","Stress, Diet",High,High,4.99,7.24,High,3.35,9.91,9.42,6.74,3.58,2.85,3.95,3.05,7.58,7.44,7.82,3.64,7.99,5.81
Celiac Disease,5.01,Moderate,"Physical Activity, Family History, Environmental Factors","Stress, Smoking",High,High,6.93,5.08,Low,6.27,2.19,3.42,1.63,3.33,9.5,5.58,7.31,2.34,6.25,1.06,9.66,9.31,2.32
Chickenpox,5.52,Moderate,"Stress Level, Blood Sugar Level, Physical Activity","Smoking, Stress",High,High,8.18,5.3,High,4.77,7.61,5.93,7.68,4.61,3.16,4.92,7.11,5.12,4.76,2.11,9.07,1.74,8.72
Multiple Sclerosis,5.91,Moderate,"BMI, Environmental Factors, Family History","Sleep, Diet",Unknown,Low,6.95,5.78,Low,7.39,5.17,6.58,7.42,7.26,1.95,7.03,6.31,6.97,5.02,2.17,9.8,6.67,3.01
Schizophrenia,5.75,Moderate,"Smoking Status, Family History, Gender","Sleep, Stress",Unknown,High,6.72,5.18,High,3.45,2.53,6.02,9.37,7.85,1.62,2.94,8.84,9.82,8.08,2.98,6.5,4.43,6.0
Peptic Ulcer,5.23,Moderate,"Gender, Sleep Quality, Physical Activity","Exercise, Diet",Unknown,High,4.63,5.54,Moderate,6.93,3.91,5.77,9.84,4.7,2.76,1.27,2.68,2.42,6.92,8.6,7.45,1.0,8.99
Dengue Fever,6.37,Moderate,"Cholesterol Level, Gender, Stress Level","Exercise, Sleep",Unknown,High,6.46,6.66,High,1.8,9.35,4.41,5.72,7.6,5.8,6.86,9.53,4.55,5.43,5.6,7.47,6.23,8.88
Anxiety Disorder,5.13,Moderate,"Physical Activity, Sleep Quality, Stress Level","Stress, Smoking",Unknown,Low,4.45,6.58,Moderate,1.26,6.78,9.02,2.74,4.99,5.26,3.0,3.73,6.16,4.84,6.13,1.69,8.55,7.72
Cholecystitis,5.5,Moderate,"Family History, Stress Level, Cholesterol Level","Smoking, Sleep",Unknown,Moderate,6.45,6.41,High,2.09,6.41,4.81,3.12,4.71,6.44,8.7,6.2,9.19,3.51,9.7,1.71,7.98,2.45
Crohns Disease,4.98,Moderate,"Environmental Factors, Blood Sugar Level, Smoking Status","Exercise, Stress",Low,Moderate,4.88,6.38,Moderate,4.53,2.47,9.3,2.55,5.46,5.15,5.33,4.9,4.15,6.65,7.81,6.57,2.68,2.18
Colon Cancer,5.16,Moderate,"Gender, Physical Activity, BMI","Sleep, Stress",Unknown,Moderate,7.12,6.33,Moderate,2.98,9.98,4.93,7.03,8.85,1.37,2.83,7.16,2.3,4.84,7.79,1.04,8.55,2.6
Cluster Headache,5.17,Moderate,"Cholesterol Level, Blood Pressure, Alcohol Consumption","Exercise, Stress",Low,Low,5.74,5.49,Low,7.79,5.09,9.44,6.53,2.98,4.78,8.75,1.44,1.6,1.67,7.39,9.95,2.69,2.25
Hepatitis A,4.88,Moderate,"Alcohol Consumption, Gender, Family History","Exercise, Smoking",Low,Low,6.54,4.88,Low,1.6,9.51,6.1,1.07,7.62,8.96,1.39,8.7,2.85,3.46,2.9,4.55,6.94,2.68
Flu,5.45,Moderate,"Sleep Quality, Cholesterol Level, Blood Sugar Level","Smoking, Diet",Low,High,4.66,6.41,Moderate,5.78,4.67,5.72,8.62,9.96,1.05,4.64,6.94,9.72,7.15,1.83,1.16,7.7,1.32
Constipation,5.88,Moderate,"Blood Pressure, BMI, Blood Sugar Level","Exercise, Diet",High,Low,5.43,6.92,Low,6.31,2.93,9.75,1.24,5.59,3.83,8.94,1.35,9.42,9.76,7.39,3.4,6.47,6.0
Diarrhea,6.73,High,"Sleep Quality, Diet Quality, Family History","Exercise, Sleep",High,High,7.31,7.22,High,9.51,9.77,2.71,8.56,1.93,6.7,2.03,8.24,8.7,4.65,5.9,7.89,7.96,9.73
Thyroid Disorder,6.22,Moderate,"Cholesterol Level, BMI, Smoking Status","Sleep, Smoking",High,High,8.95,6.67,High,9.04,2.54,9.53,3.9,7.14,5.89,9.49,4.91,4.72,8.83,9.8,5.4,4.45,1.47
Insomnia,6.0,Moderate,"Diet Quality, Alcohol Consumption, Physical Activity","Smoking, Exercise",High,Moderate,6.54,5.53,High,6.03,1.9,9.79,6.87,9.82,7.85,1.12,2.1,8.19,8.49,4.16,2.3,5.59,9.82
Chronic Kidney Disease,6.13,Moderate,"Cholesterol Level, Blood Sugar Level, Stress Level","Smoking, Exercise",Low,Moderate,6.56,6.83,Moderate,6.64,9.93,6.85,9.69,9.87,3.52,4.66,2.92,8.24,3.43,9.82,3.25,3.31,3.72
Hemorrhoids,6.47,Moderate,"Gender, Smoking Status, Blood Pressure","Sleep, Smoking",Moderate,Low,7.13,8.04,High,5.78,6.05,9.43,1.92,3.76,9.99,7.76,2.33,9.77,7.9,4.45,2.84,9.99,8.6
Epilepsy,5.31,Moderate,"Sleep Quality, Physical Activity, Blood Pressure","Exercise, Sleep",Unknown,Moderate,6.68,5.47,Low,6.57,9.6,1.06,8.52,2.63,5.37,9.63,6.21,6.6,1.33,1.24,4.77,4.93,5.82
Mumps,4.46,Moderate,"Cholesterol Level, Physical Activity, Family History","Stress, Sleep",High,Moderate,5.39,5.5,Low,6.91,2.92,2.14,9.13,4.49,1.33,3.67,2.2,2.71,3.58,5.79,1.23,8.88,7.46
Hemorrhoids,5.23,Moderate,"Environmental Factors, Blood Sugar Level, Smoking Status","Diet, Exercise",Unknown,Moderate,6.33,6.03,Low,1.1,1.93,5.73,7.12,5.28,2.39,2.35,9.45,9.16,8.09,3.66,9.02,6.73,1.27
Gallstones,6.24,Moderate,"Physical Activity, Smoking Status, Family History","Stress, Sleep",High,Low,8.66,6.96,High,5.68,6.74,1.83,6.78,1.74,6.33,9.79,1.74,8.95,9.97,8.92,7.3,4.97,6.62
Varicose Veins,5.34,Moderate,"Family History, Smoking Status, Age","Exercise, Stress",Low,Moderate,6.1,4.95,Low,6.87,1.09,9.05,6.73,6.08,1.5,8.11,4.76,6.84,2.47,1.53,9.6,4.01,6.14
Peptic Ulcer,5.51,Moderate,"Alcohol Consumption, BMI, Smoking Status","Diet, Smoking",Low,Low,7.69,6.73,Moderate,1.15,3.77,9.91,9.22,9.15,7.62,5.48,6.14,1.87,2.73,6.88,4.09,5.72,3.38
COVID-19,5.43,Moderate,"Diet Quality, Alcohol Consumption, Physical Activity","Exercise, Diet",Moderate,Low,4.9,6.33,High,2.61,1.04,5.83,4.7,1.43,6.34,7.32,9.64,1.82,3.57,6.86,6.58,9.99,8.28
Appendicitis,6.03,Moderate,"Age, Diet Quality, Sleep Quality","Stress, Smoking",Moderate,Moderate,8.01,7.23,Low,9.65,9.91,7.43,4.05,5.98,7.15,9.59,7.95,2.51,5.43,3.86,5.63,1.52,3.79
Asthma,6.0,Moderate,"Diet Quality, Age, Blood Pressure","Exercise, Stress",Unknown,Moderate,5.39,5.56,Moderate,1.74,9.03,5.93,6.87,9.82,3.56,8.41,1.66,8.8,2.12,5.46,9.13,6.96,4.49
Cholecystitis,4.74,Moderate,"Smoking Status, Cholesterol Level, Gender","Sleep, Diet",Unknown,High,5.06,5.52,Moderate,7.46,1.94,2.77,9.46,1.44,1.39,3.96,8.51,4.97,6.96,5.09,5.65,5.3,1.46
Fibromyalgia,4.48,Moderate,"Blood Sugar Level, Age, Physical Activity","Exercise, Stress",High,High,5.49,5.11,High,1.59,3.72,3.74,1.67,2.63,2.0,1.24,4.13,7.94,1.67,6.73,9.36,7.43,8.9
Hypothyroidism,5.64,Moderate,"Blood Pressure, Alcohol Consumption, Family History","Smoking, Stress",Low,Low,7.22,5.27,Moderate,3.73,9.19,5.64,8.41,6.62,6.67,6.73,2.37,6.89,7.05,3.42,5.2,3.01,4.1
Breast Cancer,4.83,Moderate,"Physical Activity, Diet Quality, Blood Pressure","Smoking, Diet",High,Moderate,6.54,5.63,Low,5.84,5.86,8.81,8.19,6.26,4.47,5.06,1.28,5.77,5.94,4.72,1.39,2.2,1.79
Leukemia,4.52,Moderate,"BMI, Environmental Factors, Age","Smoking, Diet",Low,High,3.7,4.89,Moderate,4.98,7.8,3.95,2.7,1.52,3.45,1.46,4.1,4.24,4.39,8.14,3.46,6.85,6.28
Thyroid Disorder,5.54,Moderate,"Environmental Factors, Gender, Family History","Sleep, Smoking",High,High,6.87,6.1,Low,8.45,2.48,5.56,8.27,2.76,3.6,6.37,8.64,6.41,7.1,3.78,2.61,6.77,4.81
Osteoporosis,5.72,Moderate,"Cholesterol Level, Age, Physical Activity","Smoking, Stress",High,Low,6.32,6.49,Moderate,1.67,1.93,9.02,1.34,2.98,9.01,9.11,5.78,9.94,6.46,8.7,2.43,7.38,4.38
Chronic Kidney Disease,5.25,Moderate,"Blood Sugar Level, Cholesterol Level, Smoking Status","Exercise, Sleep",Low,High,7.32,5.23,High,4.78,8.52,6.16,5.53,5.32,8.11,6.0,4.19,1.94,2.08,4.33,3.89,6.63,5.99
Osteoporosis,4.17,Moderate,"Physical Activity, Blood Pressure, Stress Level","Smoking, Stress",High,Low,4.63,5.15,Low,4.25,7.59,1.75,3.68,1.88,5.97,3.68,1.09,6.18,5.36,2.53,4.71,7.2,2.51
Peptic Ulcer,5.49,Moderate,"Physical Activity, Sleep Quality, Blood Pressure","Exercise, Sleep",Unknown,Moderate,7.64,6.22,High,7.95,2.96,4.13,3.6,8.35,9.29,2.89,8.86,3.36,2.67,5.09,5.32,6.41,5.92
Lactose Intolerance,5.78,Moderate,"Diet Quality, Cholesterol Level, Alcohol Consumption","Exercise, Diet",High,Low,6.16,6.51,Moderate,9.1,1.75,5.63,3.46,7.96,9.89,2.71,4.88,4.02,5.99,3.73,8.79,7.72,5.23
Sinusitis,6.15,Moderate,"Stress Level, Cholesterol Level, Family History","Exercise, Stress",High,Low,5.96,7.61,Moderate,2.43,9.09,7.65,8.46,6.11,2.29,3.29,2.14,8.5,5.15,7.73,9.49,6.9,6.93
Common Cold,5.79,Moderate,"Family History, Environmental Factors, BMI","Stress, Exercise",Moderate,High,6.57,7.35,Moderate,9.79,4.43,8.96,7.26,4.8,6.49,7.5,2.32,5.02,5.34,4.48,4.74,4.84,5.1
Iron Deficiency,7.17,High,"Smoking Status, Age, Blood Pressure","Smoking, Stress",High,Moderate,7.56,7.19,Moderate,9.05,7.66,4.78,4.5,8.04,8.19,6.52,8.49,9.38,8.61,8.95,4.4,2.92,8.84
Appendicitis,5.14,Moderate,"Gender, Smoking Status, BMI","Smoking, Diet",Unknown,Moderate,5.37,5.52,Low,9.29,1.74,2.29,4.36,4.35,1.94,6.57,7.13,9.01,1.82,9.0,5.83,4.88,3.75
Meniere Disease,4.98,Moderate,"BMI, Smoking Status, Physical Activity","Stress, Sleep",High,High,5.23,4.88,Moderate,4.98,7.2,5.11,4.44,6.93,5.63,5.61,3.56,7.37,3.33,2.21,3.2,8.46,1.63
Ulcerative Colitis,5.65,Moderate,"Cholesterol Level, Smoking Status, Gender","Diet, Stress",High,Low,7.95,5.18,High,7.21,1.22,6.47,1.5,9.37,7.07,2.36,8.08,2.25,8.41,6.61,2.38,9.24,6.92
Bipolar Disorder,4.86,Moderate,"Blood Pressure, Physical Activity, Cholesterol Level","Sleep, Exercise",Unknown,High,4.46,6.07,Moderate,1.12,9.98,8.73,1.18,3.1,8.78,1.17,6.34,7.46,2.35,2.01,8.23,6.09,1.54
Bronchitis,4.93,Moderate,"Alcohol Consumption, Gender, Smoking Status","Sleep, Smoking",Moderate,Low,4.2,5.55,Low,6.18,4.4,8.71,3.94,5.51,9.4,4.02,3.71,7.66,3.03,2.66,4.1,4.11,1.6
Alzheimers Disease,4.81,Moderate,"Stress Level, Physical Activity, Alcohol Consumption","Sleep, Diet",Moderate,Low,6.68,5.62,Moderate,1.07,6.97,5.51,4.5,2.51,9.94,7.45,2.12,8.86,5.86,2.93,1.86,3.24,4.56
Gout,4.6,Moderate,"Age, Physical Activity, Cholesterol Level","Smoking, Sleep",Unknown,Low,5.15,5.48,High,7.15,9.53,4.18,7.02,2.55,1.01,1.43,4.58,5.11,2.7,1.22,6.27,6.96,4.74
Bronchitis,6.37,Moderate,"Gender, Age, Cholesterol Level","Diet, Exercise",High,Low,5.21,6.44,High,3.96,6.5,8.53,6.99,5.29,9.36,9.98,2.63,5.28,1.15,6.51,8.93,5.96,8.04
Breast Cancer,6.19,Moderate,"BMI, Cholesterol Level, Physical Activity","Exercise, Diet",Moderate,Low,8.12,7.18,High,3.08,6.2,7.32,2.41,8.7,1.22,9.92,7.9,6.38,8.67,3.78,7.35,4.03,9.7
