drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Prednisone,Furosemide,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Warfarin,Furosemide,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Gabapentin,Sertraline,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Clonazepam,Hydrochlorothiazide,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Atorvastatin,Amoxicillin,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Hydrochlorothiazide,Insulin,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Losartan,Furosemide,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Acetaminophen,Tramadol,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Clonazepam,Hydrochlorothiazide,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Losartan,Lorazepam,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,All ages
Prednisone,Cetirizine,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Metformin,Sertraline,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Atorvastatin,Sertraline,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Clonazepam,Omeprazole,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Insulin,Ibuprofen,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Sertraline,Furosemide,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Omeprazole,Amoxicillin,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Amoxicillin,Acetaminophen,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Lorazepam,Warfarin,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Sertraline,Metformin,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Gabapentin,Montelukast,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Lisinopril,Cetirizine,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Pediatric
Losartan,Acetaminophen,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Losartan,Insulin,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Omeprazole,Warfarin,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Insulin,Sertraline,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Furosemide,Lisinopril,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Montelukast,Losartan,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Atorvastatin,Omeprazole,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Hydrochlorothiazide,Metformin,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Diphenhydramine,Metformin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Montelukast,Sertraline,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Levothyroxine,Clonazepam,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Prednisone,Omeprazole,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Warfarin,Furosemide,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Adults only
Omeprazole,Clonazepam,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Clonazepam,Omeprazole,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Albuterol,Losartan,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Cetirizine,Omeprazole,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Pediatric
Hydrochlorothiazide,Acetaminophen,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Pediatric
Cetirizine,Sertraline,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Aspirin,Sertraline,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Ibuprofen,Clonazepam,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Montelukast,Lorazepam,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Sertraline,Prednisone,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Metformin,Montelukast,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Acetaminophen,Atorvastatin,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Montelukast,Cetirizine,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Hydrochlorothiazide,Metformin,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
