disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
Fibromyalgia,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Mild,Emergency,9
Meniere Disease,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,High,14
Bipolar Disorder,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,,Critical,High,71
Breast Cancer,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Moderate,Emergency,62
Alzheimers Disease,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,Critical,Emergency,59
Lung Cancer,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Critical,Low,46
UTI,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Severe,Emergency,2
Celiac Disease,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Severe,High,53
Heart Disease,Maintain healthy weight (BMI 18.5-24.9),Monitor blood pressure daily at same time,Engage in 150 minutes moderate aerobic exercise weekly,Quit smoking and avoid all tobacco products,,,Mild,Medium,33
Flu,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Critical,Low,87
Food Poisoning,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,Emergency,66
Acid Reflux,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,,Moderate,Medium,36
Tuberculosis,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Mild,Medium,73
GERD,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,,Mild,Emergency,10
Cluster Headache,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,Mild,Medium,8
Hypothyroidism,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Low,11
Heart Disease,Take prescribed medications exactly as directed,"Follow DASH diet (low sodium, high potassium, whole grains)",Engage in 150 minutes moderate aerobic exercise weekly,Quit smoking and avoid all tobacco products,Maintain healthy weight (BMI 18.5-24.9),Monitor blood pressure daily at same time,Severe,High,74
Gallstones,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,,Mild,Medium,17
Chronic Kidney Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Critical,Emergency,18
Peptic Ulcer,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Severe,Emergency,66
Migraine,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,,Severe,Emergency,52
Stroke,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,,Severe,Low,80
PTSD,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,,Moderate,Medium,49
Hemorrhoids,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Moderate,High,74
Insomnia,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Critical,Medium,33
Insomnia,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Severe,High,64
