disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Thyroid Disorder,Thyroid Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z82.6,Respiratory,Partially,7-14,6.617,1999,Children,May lead to various complications if left untreated,2025-07-14
Osteoarthritis,Osteoarthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J65.7,Respiratory,Partially,14-30,6.712,347,Elderly,May lead to various complications if left untreated,2024-09-11
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L31.5,Neurological,Yes,14-30,9.893,2987,Children,May lead to various complications if left untreated,2024-12-06
Coronary Artery Disease,Coronary Artery Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A54.6,Neurological,No,14-30,13.428,1227,All ages,May lead to various complications if left untreated,2025-06-30
Laryngitis,Laryngitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R61.6,Neurological,No,14-30,9.922,497,Elderly,May lead to various complications if left untreated,2025-01-08
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G13.1,Infectious,Partially,Chronic,6.57,4360,Children,May lead to various complications if left untreated,2024-10-02
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O55.7,Respiratory,Yes,3-7,9.738,1856,Adults,May lead to various complications if left untreated,2024-09-12
Parkinsons Disease,Parkinsons Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O68.0,Respiratory,Yes,7-14,12.981,2958,Elderly,May lead to various complications if left untreated,2024-09-11
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z45.1,Cardiovascular,Partially,7-14,4.38,3564,Elderly,May lead to various complications if left untreated,2025-08-16
Chickenpox,Chickenpox is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q25.9,Endocrine,Yes,3-7,10.927,510,Children,May lead to various complications if left untreated,2025-07-29
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O25.9,Endocrine,No,7-14,11.791,2114,Adults,May lead to various complications if left untreated,2025-04-12
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B63.5,Endocrine,Yes,7-14,7.351,425,Adults,May lead to various complications if left untreated,2025-04-13
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z53.8,Respiratory,Partially,Chronic,4.871,2949,Adults,May lead to various complications if left untreated,2025-05-04
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E69.2,Infectious,No,7-14,14.164,4955,All ages,May lead to various complications if left untreated,2025-02-23
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Elderly,May lead to various complications if left untreated,2025-06-10
Arthritis,Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A13.2,Endocrine,Yes,Chronic,2.808,4257,Elderly,May lead to various complications if left untreated,2025-06-15
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I43.6,Infectious,Partially,Chronic,9.756,1289,Elderly,May lead to various complications if left untreated,2024-10-18
Ear Infection,Ear Infection is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W44.4,Endocrine,Partially,7-14,7.276,4500,All ages,May lead to various complications if left untreated,2025-04-01
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W81.7,Endocrine,Partially,7-14,8.594,2496,All ages,May lead to various complications if left untreated,2025-06-14
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B84.0,Infectious,Partially,3-7,9.187,1788,Children,May lead to various complications if left untreated,2025-04-08
Metabolic Syndrome,Metabolic Syndrome is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J20.0,Infectious,Partially,Chronic,13.835,2414,Adults,May lead to various complications if left untreated,2025-01-10
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H86.6,Endocrine,Yes,7-14,0.216,2693,Adults,May lead to various complications if left untreated,2025-01-30
Tuberculosis,Tuberculosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z23.3,Endocrine,Yes,14-30,11.034,1200,Children,May lead to various complications if left untreated,2025-05-01
Thyroid Disorder,Thyroid Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O84.9,Respiratory,Partially,Chronic,5.295,4,Adults,May lead to various complications if left untreated,2024-09-16
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V21.6,Neurological,Partially,3-7,7.231,408,Children,May lead to various complications if left untreated,2025-01-23
Bipolar Disorder,Bipolar Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P71.1,Neurological,No,14-30,2.074,1284,Elderly,May lead to various complications if left untreated,2025-07-17
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M76.3,Infectious,No,14-30,3.82,2130,All ages,May lead to various complications if left untreated,2025-08-01
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T26.3,Neurological,No,14-30,11.675,1874,All ages,May lead to various complications if left untreated,2024-10-23
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V80.0,Neurological,Yes,14-30,2.787,1495,Children,May lead to various complications if left untreated,2024-10-07
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L31.3,Infectious,Partially,3-7,1.721,1859,All ages,May lead to various complications if left untreated,2025-02-02
Laryngitis,Laryngitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H68.1,Neurological,Yes,14-30,10.531,271,Children,May lead to various complications if left untreated,2025-01-18
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C80.8,Respiratory,Partially,7-14,3.003,4761,Elderly,May lead to various complications if left untreated,2025-03-03
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A86.2,Endocrine,No,3-7,3.001,2478,Elderly,May lead to various complications if left untreated,2025-04-05
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J58.1,Infectious,Partially,7-14,14.318,727,Elderly,May lead to various complications if left untreated,2024-11-18
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K54.0,Infectious,No,14-30,3.277,2978,Children,May lead to various complications if left untreated,2024-10-30
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N97.8,Respiratory,Partially,7-14,4.354,1119,Adults,May lead to various complications if left untreated,2025-05-30
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X64.1,Endocrine,No,7-14,12.136,3483,Children,May lead to various complications if left untreated,2025-05-05
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T94.7,Infectious,Yes,3-7,3.497,2626,Elderly,May lead to various complications if left untreated,2024-11-01
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D93.7,Endocrine,Yes,7-14,11.762,1602,Children,May lead to various complications if left untreated,2024-09-27
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V48.2,Neurological,No,Chronic,5.949,4044,Children,May lead to various complications if left untreated,2025-05-26
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P86.9,Endocrine,Yes,Chronic,8.123,651,All ages,May lead to various complications if left untreated,2025-05-16
